expo,table,project,sponsors,link,category,special
1,99,PennyThoughts,"Best iOS App (Apple),Best Use of Firebase,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40214-pennythoughts,Miscellaneous,0
1,100,xplor,"Best Travel Hack (Delta),Best Use of Expedia's API,Judge's / Player's Choice (Electronic Arts),Best of Uber API",http://mhacks6.devpost.com/submissions/40219-xplor,Web Development,0
1,101,Application Optimization,"Best Business Solution App Using Open Source (Goldman Sachs),Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of Wolfram Tech,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Domain.com Domain Name",http://mhacks6.devpost.com/submissions/40224-application-optimization,Web Development,0
1,102,Cactus Juice,Best Overall Use of Microsoft Technology,http://mhacks6.devpost.com/submissions/40227-cactus-juice,VR/Game Development,0
1,103,Explora,"Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of Expedia's API",http://mhacks6.devpost.com/submissions/40228-explora,Web Development,0
1,104,NYSEVisualizer,"Judge's / Player's Choice (Electronic Arts),Best Overall Use of Microsoft Technology,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40229-nysevisualizer,VR/Game Development,0
1,105,Listnote,,http://mhacks6.devpost.com/submissions/40230-listnote,Web Development,0
1,106,Ask about Red Cross (AMEX Challenge Q2),Best Team Collaboration on a Project -  American Express,http://mhacks6.devpost.com/submissions/40232-ask-about-red-cross-amex-challenge-q2,Web Development,0
1,107,InvestorBuddy,Best Use of Analytics and Analysis (Bloomberg),http://mhacks6.devpost.com/submissions/40235-investorbuddy,Web Development,0
1,108,Visualeyes,"Best Use of Walmart API,Best Sustainable Hack (Walmart),Best Money Saving Hack (Concur),Judge's / Player's Choice (Electronic Arts),Best Use of Firebase,Best Business Solution App Using Open Source (Goldman Sachs),Best Use of Microsoft Azure,Best Team Collaboration on a Project -  American Express,Best Use of Namecheap",http://mhacks6.devpost.com/submissions/40236-visualeyes,Web Development,0
1,109,Mirror,,http://mhacks6.devpost.com/submissions/40237-mirror,Web Development,0
1,110,Soundcard,,http://mhacks6.devpost.com/submissions/40241-soundcard,Web Development,0
1,111,fomo : Fear of Missing Out!,"Best Use of Walmart API,Best Sustainable Hack (Walmart),Top Hack Using .CO,Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of Expedia's API,Best Business Solution App Using Open Source (Goldman Sachs),Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of Twilio,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA,Best Domain.com Domain Name",http://mhacks6.devpost.com/submissions/40243-fomo-fear-of-missing-out,Miscellaneous,0
1,112,Url2pptx,"Best Business Solution App Using Open Source (Goldman Sachs),Best Overall Use of Microsoft Technology,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40244-url2pptx,Miscellaneous,0
1,113,Treeland,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Team Collaboration on a Project -  American Express",http://mhacks6.devpost.com/submissions/40249-treeland,Web Development,0
1,114,Delta (Blues),Best Travel Hack (Delta),http://mhacks6.devpost.com/submissions/40254-delta-blues,Web Development,0
1,115,SmartShower,"Best Sustainable Hack (Walmart),Best Use of Capital One API",http://mhacks6.devpost.com/submissions/40260-smartshower,Web Development,1
1,116,The Star Wars Initiative ,,http://mhacks6.devpost.com/submissions/40267-the-star-wars-initiative,Miscellaneous,0
1,117,Poltergeist,"Judge's / Player's Choice (Electronic Arts),Best Team Collaboration on a Project -  American Express",http://mhacks6.devpost.com/submissions/40268-poltergeist,VR/Game Development,0
1,118,Lecture Learning,"Top Hack Using .CO,Best Use of Analytics and Analysis (Bloomberg),Best Use of Firebase,Best Way to Visualize Data -  Qualtrics,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40272-lecture-learning,Web Development,0
1,119,Pledge Silence,"Best Use of MongoDB,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40278-pledge-silence,Web Development,0
1,120,e-Valuator,"Best Use of Walmart API,Best Money Saving Hack (Concur),Best Use of Parse API,Best Use of Microsoft Azure",http://mhacks6.devpost.com/submissions/40283-e-valuator,VR/Game Development,1
1,121,"Biometric 2-Factor Security - ""BioAuth"" (MongoDB) ","Best Security Hack (Walmart),Best Sustainable Hack (Walmart),Top Hack Using .CO,Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of MongoDB,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40284-biometric-2-factor-security-bioauth-mongodb,Miscellaneous,0
1,122,Popsicle,,http://mhacks6.devpost.com/submissions/40285-popsicle,Web Development,0
1,123,CBKB,"Top Hack Using .CO,Best Use of Parse API",http://mhacks6.devpost.com/submissions/40286-cbkb,Miscellaneous,0
1,124,uiuc cafe x-change,"Best Money Saving Hack (Concur),Best Use of MongoDB,Best Hack for Social Impact - Spnosored by VFA,Best eCommerce Hack -  Walmart",http://mhacks6.devpost.com/submissions/40288-uiuc-cafe-x-change,Web Development,0
1,125,Roast.me,Best Use of Parse API,http://mhacks6.devpost.com/submissions/40294-roast-me,Web Development,0
1,126,InstaDraw,"Best Use of Firebase,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40296-instadraw,Web Development,0
1,128,Hacker Hunter,"Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology",http://mhacks6.devpost.com/submissions/40298-hacker-hunter,Web Development,0
1,129,Bonfire Fitness,,http://mhacks6.devpost.com/submissions/40301-bonfire-fitness,Miscellaneous,1
1,130,Social Media Dashboard,Best Way to Visualize Data -  Qualtrics,http://mhacks6.devpost.com/submissions/40308-social-media-dashboard,Web Development,0
1,131,Trapped Note,"Best iOS App (Apple),Judge's / Player's Choice (Electronic Arts)",http://mhacks6.devpost.com/submissions/40309-trapped-note,VR/Game Development,0
1,132,-A-D- Game,,http://mhacks6.devpost.com/submissions/40311-a-d-game,Web Development,0
1,133,GunFight,,http://mhacks6.devpost.com/submissions/40313-gunfight,VR/Game Development,0
1,134,Cartify,"Best Use of Walmart API,Best Sustainable Hack (Walmart),Best Money Saving Hack (Concur),Best Use of Firebase",http://mhacks6.devpost.com/submissions/40087-cartify,Web Development,0
1,135,broke,,http://mhacks6.devpost.com/submissions/40093-broke,Miscellaneous,0
1,136,"Squad: You May Be Lost, But The Squad Isn't","Top Hack Using .CO,Best Use of Firebase",http://mhacks6.devpost.com/submissions/40095-squad-you-may-be-lost-but-the-squad-isn-t,Web Development,0
1,137,MPark,"Top Hack Using .CO,Best Use of Parse API",http://mhacks6.devpost.com/submissions/40096-mpark,Web Development,0
1,138,Share The Love,Best Travel Hack (Delta),http://mhacks6.devpost.com/submissions/40316-share-the-love,Web Development,1
2,1,BaymaxBuddies,"Best Travel Hack (Delta),Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40014-baymaxbuddies,Hardware,0
2,2,SMSTrip,"Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of Microsoft Azure,Best Use of Twilio,Best Team Collaboration on a Project -  American Express",http://mhacks6.devpost.com/submissions/40019-smstrip,Social Impact,0
2,3,Divvy,"Best Use of Capital One API,Best Money Saving Hack (Concur),Best Use of MongoDB",http://mhacks6.devpost.com/submissions/40020-divvy,Hardware,0
2,4,Tranquil,"Best iOS App (Apple),Judge's / Player's Choice (Electronic Arts),Ford Best Mobile App",http://mhacks6.devpost.com/submissions/40023-tranquil,iOS,0
2,5,Fuber,"Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best of Uber API",http://mhacks6.devpost.com/submissions/40024-fuber,Social Impact,0
2,6,Shepherd,"Top Hack Using .CO,Best iOS App (Apple),Best Use of Analytics and Analysis (Bloomberg),Best Use of MongoDB,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40025-shepherd,iOS,0
2,7,Impact6,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Use of Microsoft Azure",http://mhacks6.devpost.com/submissions/40029-impact6,Social Impact,0
2,8,TdotExchange,"Best Sustainable Hack (Walmart),Best Money Saving Hack (Concur),Best Use of Parse API",http://mhacks6.devpost.com/submissions/40031-tdotexchange,Android,0
2,9,Shoot Safe,,http://mhacks6.devpost.com/submissions/40032-shoot-safe,iOS,0
2,10,Conductive Painting,,http://mhacks6.devpost.com/submissions/40033-conductive-painting,Hardware,0
2,11,Breeze,"Best iOS App (Apple),Best Use of the Nest API",http://mhacks6.devpost.com/submissions/40034-breeze,iOS,1
2,12,charico,"Top Hack Using .CO,Best iOS App (Apple),Best Use of Capital One API,Best Use of Parse API",http://mhacks6.devpost.com/submissions/40038-charico,Social Impact,0
2,13,Secret Handshake,Best Security Hack (Walmart),http://mhacks6.devpost.com/submissions/40039-secret-handshake,Hardware,0
2,14,Snap,"Best Use of Walmart API,Best Money Saving Hack (Concur)",http://mhacks6.devpost.com/submissions/40041-snap,Android,0
2,15,Binge,"Top Hack Using .CO,Best iOS App (Apple),Best Use of Parse API,Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of MongoDB,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40045-binge,iOS,0
